,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Industry,Current Price,Mcap Cr,PE,D/E,RoE %,ROIC %,EV/EBITDA,Sales,Sales growth 5Years %,OP,OPM,PAT,NPM %,Profit growth 5Years,Reserves,Debt,CWIP,Inventory,Trade receivables,Total Assets,CFO,FCF,FCF 3Y,FCF 5Y,Promoter holding,Pledged percentage,Div Yield,DII 3Y,FII 3Y,Return over 1year,Return over 3years,Return over 5years,Return over 7years,Return over 10years,DMA 50,DMA 200
Aditya Vision,Trading,414.35,"5,331",51,0.82,20,13,27,"2,260",23,204,9%,105,5,50,571,480,6,698,0,"1,223",-41,-78,-130,-115,53,0,0.2,10,17,30,78,200,77,,430,437
Affle 3i,Computers - Software - Medium / Small,1676,"23,547",62,0.03,14,13,39,"2,266",47,483,21%,382,17,42,"2,918",82,0,0,299,"3,622",426,266,581,767,55,0,0.0,9,1,41,21,40,,,"1,600","1,534"
Ami Organics,Pharmaceuticals - Indian - Bulk Drugs,1187.75,"9,724",61,0.01,16,14,38,"1,007",33,232,23%,159,16,41,"1,269",13,130,180,290,"1,549",118,-76,-262,-385,36,0,0.1,13,14,91,40,,,,"1,153","1,018"
Anand Rathi Wea.,Finance & Investments,1937.55,"16,086",54,0.12,45,58,36,939,23,400,43%,300,32,37,632,79,0,0,35,961,244,208,553,663,47,4,0.5,-3,4,-6,82,,,,"1,807","1,844"
Artemis Medicare,Healthcare,278.6,"3,871",46,0.33,13,10,21,913,10,150,16%,83,9,32,828,280,39,9,93,"1,343",139,46,77,34,67,45,0.2,4,0,57,88,78,,,262,263
Bajaj Finance,Finance & Investments,9218," 5,72,833",34,3.74,19,11,19,"69,684",21,"47,672",68%,"16,638",24,26,"96,569"," 3,61,249",27,0,"1,913"," 4,66,127","-68,154","-69,200","-185,929","-224,740",55,0,0.5,4,0,33,15,36,23,36,"8,882","7,999"
Bharti Airtel,Telecommunications - Service Provider,1856," 11,13,192",40,1.88,28,16,13," 1,72,985",15,"93,159",54%,"27,731",18,31," 1,10,772"," 2,13,642","10,596",452,"7,456"," 5,14,360","98,332","58,991"," 1,36,835"," 1,86,922",52,0,0.4,0,6,34,39,28,27,17,"1,792","1,636"
Bharti Hexacom,Telecommunications - Service Provider,1823,"91,150",68,1.24,25,16,22,"8,548",17,"4,197",49%,"1,340",16,35,"5,682","7,353",297,0,108,"19,251","4,583","3,104","8,772","8,760",70,0,0.2,,,75,,,,,"1,587","1,393"
Bikaji Foods,Food - Processing - Indian,736.8,"18,464",95,0.17,15,13,51,"2,622",20,328,13%,194,7,28,"1,358",231,96,108,101,"1,937",193,72,276,270,75,0,0.1,,,32,,,,,703,710
BLS Internat.,Computers - Software - Medium / Small,414.45,"17,065",34,0.21,35,27,24,"2,193",23,629,29%,508,25,46,"1,690",359,11,0,122,"2,806",829,668,"1,147","1,290",70,0,0.2,2,9,28,63,121,36,,382,386
BSE,Miscellaneous,2407,"97,755",74,0,34,43,50,"3,212",40,"1,754",55%,"1,317",41,64,"4,397",0,41,0,310,"10,342",410,258,"2,688","3,992",0,0,0.3,-1,17,167,121,125,59,,"2,100","1,656"
Camlin Fine,Chemicals,246.2,"4,627",103,0.76,5,11,23,"1,667",10,208,12%,45,3,8,883,681,10,527,328,"2,024",27,-16,-29,-64,49,11,0.0,-11,-9,165,28,44,16,10,173,143
Caplin Point Lab,Pharmaceuticals - Indian - Formulations,2165.85,"16,463",31,0,22,23,21,"1,937",18,647,33%,536,28,20,"2,835",5,139,336,632,"3,209",432,241,491,932,71,0,0.2,1,4,68,44,47,23,28,"2,008","1,936"
CEAT,Tyres,3765.45,"15,231",31,0.49,12,11,12,"13,218",14,"1,474",11%,493,4,15,"4,328","2,136",507,"1,412","1,653","11,212","1,092",149,"1,329","1,716",47,0,0.8,10,-7,56,55,36,15,17,"3,330","2,972"
CG Power & Ind,Electric Equipment,694.3," 1,06,160",109,0.01,28,27,72,"9,909",14,"1,305",13%,973,10,34,"3,538",41,355,"1,137","2,009","7,417",944,519,"1,558","1,714",58,0,0.2,8,0,10,60,159,37,30,645,647
Choice Intl.,Finance & Investments,711.9,"14,213",91,0.45,19,19,48,910,47,285,31%,157,18,66,828,463,1,19,275,"2,619",-294,-344,-417,-501,58,14,0.0,0,6,108,101,100,61,61,604,510
Cholaman.Inv.&Fn,Finance & Investments,1663.9," 1,39,938",33,7.4,20,10,17,"25,846",24,"18,174",70%,"4,263",16,32,"23,500"," 1,75,036",4,0,204," 2,01,887","-32,413","-32,600","-96,646","-111,191",50,0,0.1,-8,11,32,36,64,27,31,"1,536","1,409"
Coforge,Computers - Software - Medium / Small,8485.4,"56,755",68,0.17,17,12,31,"12,051",24,"1,694",14%,836,8,14,"6,312","1,070",2,0,"2,577","12,491","1,237",680,"2,120","3,425",0,0,0.9,24,18,64,32,42,34,36,"7,807","7,542"
Craftsman Auto,Auto Ancillaries,5748.25,"13,713",65,0.83,9,8,19,"5,690",31,833,15%,212,4,37,"2,845","2,358",345,"1,332",921,"7,116",283,-706,-553,-169,49,0,0.2,8,12,34,37,,,,"4,947","4,917"
Deepak Fertiliz.,Chemicals,1384,"17,471",19,0.67,16,16,11,"10,274",17,"1,925",19%,934,9,95,"6,110","4,152","1,404","1,069","1,617","13,148","1,880",763,-47,"1,189",46,0,0.6,10,-4,148,29,69,22,27,"1,255","1,114"
Dhanuka Agritech,Pesticides / Agrochemicals - Indian,1685.2,"7,681",26,0.05,22,22,17,"2,035",13,417,20%,297,15,16,"1,394",74,9,399,459,"1,800",263,74,156,421,70,0,0.8,1,-1,33,34,24,17,10,"1,411","1,400"
Dodla Dairy,Food - Processing - Indian,1194.65,"7,207",28,0.03,20,18,16,"3,720",12,381,10%,260,7,40,"1,346",42,12,162,12,"1,731",520,412,363,653,60,0,0.3,2,6,36,35,,,,"1,121","1,112"
Doms Industries,Printing & Stationery,2399,"14,559",72,0.21,22,19,39,"1,913",24,348,18%,202,11,41,942,212,60,294,134,"1,520",183,-30,38,46,70,0,0.1,,,25,,,,,"2,707","2,573"
eClerx Services,Computers - Software - Medium / Small,3512.25,"17,219",32,0.16,24,22,19,"3,366",19,808,24%,541,16,21,"2,259",358,0,0,495,"3,146",655,539,"1,404","2,113",54,0,0.0,6,-4,56,35,67,22,16,"2,874","2,873"
Eicher Motors,Automobiles - Motorcycles / Mopeds,5378," 1,47,493",31,0.02,24,71,22,"18,870",16,"4,712",25%,"4,734",25,21,"21,269",458,110,"1,564",550,"27,174","3,980","2,951","8,010","10,074",49,0,1.0,7,-4,13,25,27,9,11,"5,380","5,036"
ERIS Lifescience,Pharmaceuticals - Indian - Formulations,1581,"21,531",61,0.87,13,9,23,"2,894",22,"1,017",35%,352,13,4,"2,841","2,478",0,335,459,"7,033","1,065",910,718,"1,325",55,19,0.5,8,-5,74,31,26,10,,"1,425","1,304"
Ethos Ltd,Trading,2782.5,"6,812",71,0.29,10,10,32,"1,252",22,188,15%,96,8,120,958,289,31,593,18,"1,410",-20,-94,-152,-105,51,0,0.0,,,16,,,,,"2,626","2,679"
Eureka Forbes,Domestic Appliances,637.8,"12,334",77,0.01,4,3,44,"2,436",172,263,11%,160,7,183,"4,191",26,0,243,180,"6,310",226,170,500,533,63,54,0.0,6,1,50,28,,,,545,533
FDC,Pharmaceuticals - Indian - Bulk Drugs & Formln,457.8,"7,453",27,0.01,14,29,18,"2,078",12,320,15%,274,15,11,"2,275",20,143,323,173,"2,688",221,151,233,628,70,0,1.1,1,-2,-1,23,13,10,12,435,455
Fiem Industries,Auto Ancillaries,1605,"4,224",22,0.02,20,18,12,"2,341",7,312,13%,192,8,24,906,23,29,231,247,"1,325",135,51,200,476,59,0,1.3,7,-8,33,52,62,21,18,"1,496","1,438"
Havells India,Electric Equipment,1554.7,"97,471",66,0.04,19,17,38,"21,778",18,"2,175",10%,"1,481",7,15,"8,261",319,118,"4,047","1,258","13,809","1,515",762,"1,932","3,914",59,0,0.7,4,-2,-17,10,26,16,19,"1,564","1,614"
Health.Global,Healthcare,544.35,"7,589",171,1.99,5,7,21,"2,223",15,387,17%,44,2,19,783,"1,837",25,53,401,"3,543",317,110,336,571,71,5,0.0,7,-5,48,25,40,9,,559,493
Hitachi Energy,Electric Equipment,17911.85,"79,837",208,0.02,14,10,117,"6,385",15,596,9%,384,6,15,"4,205",88,90,926,"2,110","8,613","1,494","1,366","1,522","1,747",71,0,0.0,11,0,66,75,84,,,"14,396","12,648"
